Price;Neighbourhood Cleansed;City;Country;Property Type;Room Type;Accommodates;Bathrooms;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 365;Review Scores Rating
200.0;Legazpi;Madrid;Spain;Apartment;Entire home/apt;6;2.0;100.0;50.0;4;10;83;92.0
50.0;Arapiles;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;;1;0;308;
35.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;4;1.0;100.0;20.0;1;0;4;80.0
25.0;Argüelles;Madrid;Spain;Apartment;Private room;1;1.0;;10.0;1;10;298;83.0
62.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;4;1.0;100.0;25.0;2;15;134;93.0
40.0;Pilar;Madrid;Spain;Loft;Entire home/apt;4;1.0;;;2;5;330;90.0
23.0;Zofío;Madrid;Spain;Apartment;Private room;2;1.0;;;1;20;365;
42.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;2;1.0;200.0;15.0;2;0;302;92.0
11.0;Fontarrón;Madrid;Spain;Dorm;Shared room;1;1.0;;;1;5;324;93.0
180.0;Sol;Madrid;Spain;Apartment;Entire home/apt;16;6.0;300.0;35.0;8;12;259;84.0
50.0;Universidad;Madrid;Spain;Other;Entire home/apt;6;1.0;;;2;10;4;87.0
38.0;Dublin City;Clongriffin;Ireland;House;Private room;2;1.5;;;1;18;91;95.0
39.0;Embajadores;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;320;95.0
60.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;6;1.0;150.0;30.0;2;30;276;88.0
163.0;Hollywood;Los Angeles;United States;Apartment;Entire home/apt;5;2.0;;35.0;4;25;100;95.0
110.0;Media Legua;Madrid;Spain;Apartment;Entire home/apt;8;2.0;100.0;50.0;6;20;337;98.0
22.0;Berruguete;Madrid;Spain;Apartment;Private room;2;1.0;;;1;6;342;100.0
80.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;3;1.0;300.0;30.0;1;35;354;94.0
132.0;Selva;Balearic Islands;Spain;House;Entire home/apt;6;2.0;;;1;0;326;
115.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;4;2.0;;;1;0;251;100.0
182.0;Vallehermoso;Madrid;Spain;Apartment;Entire home/apt;4;2.0;;;1;0;188;
55.0;Casco Histórico de Vallecas;Madrid;Spain;Condominium;Entire home/apt;2;1.0;;;1;0;359;83.0
30.0;Goya;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;268;100.0
45.0;Niño Jesús;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;326;100.0
43.0;Palacio;Madrid;Spain;Loft;Entire home/apt;2;1.0;;;1;0;38;74.0
100.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;20.0;1;0;0;
30.0;Chopera;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;
85.0;Goya;Madrid;Spain;House;Entire home/apt;2;1.0;98.0;35.0;2;50;365;
180.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;8;1.5;200.0;80.0;4;20;350;75.0
64.0;Nueva España;Madrid;Spain;Apartment;Entire home/apt;3;1.0;150.0;40.0;1;0;299;
20.0;Puerta del Angel;Madrid;Spain;Apartment;Private room;8;2.0;;12.0;1;15;345;80.0
